variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,39
clean,decision_risk,decision,RISK_STOP,1
clean,decision_safe_action,decision,OTHER,34
clean,decision_safe_action,decision,STOP_ACTION,6
clean,decision_stop_or_go,decision,STOP_ACTION,40
clean,sign_presence,sign_recognition,NO_STOP,37
clean,sign_presence,sign_recognition,SIGN_HALLUCINATION,3
clean,sign_stop,sign_recognition,NO_STOP,38
clean,sign_stop,sign_recognition,STOP_SIGN,2
heldout_center,decision_risk,decision,NO_STOP,38
heldout_center,decision_risk,decision,RISK_STOP,2
heldout_center,decision_safe_action,decision,OTHER,32
heldout_center,decision_safe_action,decision,STOP_ACTION,8
heldout_center,decision_stop_or_go,decision,STOP_ACTION,40
heldout_center,sign_presence,sign_recognition,NO_STOP,37
heldout_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,2
heldout_center,sign_presence,sign_recognition,STOP_SIGN,1
heldout_center,sign_stop,sign_recognition,NO_STOP,18
heldout_center,sign_stop,sign_recognition,STOP_SIGN,22
random_center,decision_risk,decision,NO_STOP,38
random_center,decision_risk,decision,RISK_STOP,2
random_center,decision_safe_action,decision,OTHER,34
random_center,decision_safe_action,decision,STOP_ACTION,6
random_center,decision_stop_or_go,decision,STOP_ACTION,40
random_center,sign_presence,sign_recognition,NO_STOP,37
random_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,2
random_center,sign_presence,sign_recognition,STOP_SIGN,1
random_center,sign_stop,sign_recognition,NO_STOP,38
random_center,sign_stop,sign_recognition,STOP_SIGN,2
whitebox_center,decision_risk,decision,NO_STOP,39
whitebox_center,decision_risk,decision,RISK_STOP,1
whitebox_center,decision_safe_action,decision,OTHER,34
whitebox_center,decision_safe_action,decision,STOP_ACTION,6
whitebox_center,decision_stop_or_go,decision,STOP_ACTION,40
whitebox_center,sign_presence,sign_recognition,NO_STOP,37
whitebox_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,3
whitebox_center,sign_stop,sign_recognition,NO_STOP,28
whitebox_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,11
